time,utc_time,current_raw,voltage,flux,temp,das_temp,gal_in,gal_out,current_cal,power,in_rate,out_rate,power_to_flowrate,pump_voltage,vdrop,pump_power,power_loss,Timestamp,W/m^2 Solar Radiation,mm Precipitation, Lightning Activity,km Lightning Distance,Wind Direction,m/s Wind Speed,m/s Gust Speed,C Air Temperature,kPa Vapor Pressure,kPa Atmospheric Pressure,X-axis Level (deg),Y-axis Level (deg),mm/h Max Precip Rate,C RH Sensor Temp,kPa VPD,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,C Logger Temperature
2019-06-28 05:00:00+00:00,6/28/2019 5:00,0.765,0.0,1.2,23.43,22.37,953.0,203.0,0.45099999999999996,0.0,0.0,0.0,,-0.6757558499999999,0.6757558499999999,-0.30476588834999996,0.30476588834999996,6/28/2019 0:00,0,0.0,0,0,93,0.59,1.24,23.3,2.8,96.68,-0.4,0.9,0.0,22.9,0.0,100,6543,96.68,22.2
2019-06-28 05:15:00+00:00,6/28/2019 5:15,0.585,0.0,1.2,23.62,22.56,953.0,203.0,0.30900000000000016,0.0,0.0,0.0,,-0.46299015000000027,0.46299015000000027,-0.14306395635000016,0.14306395635000016,6/28/2019 0:15,0,0.0,0,0,92,0.72,2.07,23.7,2.9,96.66,-0.3,0.9,0.0,23.2,0.0,100,6548,96.66,22.8
2019-06-28 05:30:00+00:00,6/28/2019 5:30,0.585,0.0,1.2,23.68,22.68,953.0,203.0,0.3209999999999999,0.0,0.0,0.0,,-0.4809703499999999,0.4809703499999999,-0.15439148234999991,0.15439148234999991,6/28/2019 0:30,0,0.0,0,0,92,0.62,1.37,23.9,2.87,96.64,-0.3,0.9,0.0,23.5,0.0,100,6526,96.64,23.1
2019-06-28 05:45:00+00:00,6/28/2019 5:45,0.81,0.0,2.4,23.75,22.68,953.0,203.0,0.56,0.0,0.0,0.0,,-0.8390760000000002,0.8390760000000002,-0.4698825600000001,0.4698825600000001,6/28/2019 0:45,0,0.0,0,0,95,0.61,1.23,24.0,2.98,96.62,-0.3,0.9,0.0,23.6,0.0,100,6528,96.61,23.1
2019-06-28 06:00:00+00:00,6/28/2019 6:00,0.585,0.0,1.2,23.75,22.75,953.0,203.0,0.33499999999999996,0.0,0.0,0.0,,-0.50194725,0.50194725,-0.16815232874999997,0.16815232874999997,6/28/2019 1:00,0,0.0,0,0,69,0.84,1.95,24.1,3.0,96.57,-0.3,0.9,0.0,23.7,0.0,100,6529,96.57,23.1
2019-06-28 06:15:00+00:00,6/28/2019 6:15,,,,,,953.0,,,,0.0,,,,,,,6/28/2019 1:15,0,0.0,0,0,35,1.0,1.99,23.9,2.96,96.53,-0.3,0.9,0.0,23.7,,100,6530,96.53,23.1
2019-06-28 06:30:00+00:00,6/28/2019 6:30,0.72,0.8009999999999999,0.8,23.5,22.5,953.0,203.0,0.41999999999999993,0.33641999999999994,0.0,0.0,inf,0.17169299999999998,0.629307,0.07211105999999998,0.26430893999999994,6/28/2019 1:30,0,0.0,0,0,66,1.04,2.0,23.7,2.88,96.49,-0.3,0.9,0.0,23.6,0.0,100,6527,96.49,22.9
2019-06-28 06:45:00+00:00,6/28/2019 6:45,0.72,0.0,0.8,23.12,22.5,953.0,203.0,0.34400000000000014,0.0,0.0,0.0,,-0.5154324000000002,0.5154324000000002,-0.17730874560000015,0.17730874560000015,6/28/2019 1:45,0,0.0,0,0,65,0.83,1.29,23.7,2.87,96.46,-0.3,0.9,0.0,23.5,0.0,100,6528,96.46,22.8
2019-06-28 07:00:00+00:00,6/28/2019 7:00,0.72,0.0,0.8,23.31,22.43,953.0,203.0,0.3819999999999997,0.0,0.0,0.0,,-0.5723696999999995,0.5723696999999995,-0.21864522539999964,0.21864522539999964,6/28/2019 2:00,0,0.0,0,0,81,0.35,0.92,23.7,2.86,96.45,-0.3,0.9,0.0,23.5,0.0,100,6527,96.45,22.8
2019-06-28 07:15:00+00:00,6/28/2019 7:15,,,,,,953.0,,,,0.0,,,,,,,6/28/2019 2:15,0,0.0,0,0,6,0.39,0.91,23.6,2.87,96.43,-0.4,0.9,0.0,23.5,0.0,100,6524,96.43,22.7
2019-06-28 07:30:00+00:00,6/28/2019 7:30,0.81,0.0,1.2,23.06,22.31,953.0,203.0,0.42199999999999976,0.0,0.0,0.0,,-0.6323036999999997,0.6323036999999997,-0.2668321613999997,0.2668321613999997,6/28/2019 2:30,0,0.0,0,0,57,0.29,0.81,23.6,2.87,96.41,-0.3,0.9,0.0,23.3,0.0,100,6527,96.41,22.6
2019-06-28 07:45:00+00:00,6/28/2019 7:45,0.72,0.0,1.2,23.0,22.25,953.0,203.0,0.31999999999999995,0.0,0.0,0.0,,-0.47947199999999995,0.47947199999999995,-0.15343103999999996,0.15343103999999996,6/28/2019 2:45,0,0.0,0,0,19,0.44,0.75,23.4,2.86,96.38,-0.3,0.9,0.0,23.3,0.0,100,6525,96.38,22.5
2019-06-28 08:00:00+00:00,6/28/2019 8:00,,,,,,953.0,,,,0.0,,,,,,,6/28/2019 3:00,0,0.0,0,0,93,0.32,0.83,23.5,2.86,96.36,-0.3,0.9,0.0,23.2,0.0,100,6523,96.36,22.5
2019-06-28 08:15:00+00:00,6/28/2019 8:15,0.81,0.8009999999999999,0.8,23.12,22.18,953.0,203.0,0.4340000000000002,0.34763400000000017,0.0,0.0,inf,0.15071609999999958,0.6502839000000004,0.06541078739999985,0.28222321260000033,6/28/2019 3:15,0,0.0,0,0,47,0.3,0.82,23.3,2.86,96.36,-0.3,0.9,0.0,23.2,0.0,100,6527,96.37,22.5
2019-06-28 08:30:00+00:00,6/28/2019 8:30,0.765,0.0,0.8,22.93,22.18,953.0,203.0,0.3509999999999999,0.0,0.0,0.0,,-0.5259208499999999,0.5259208499999999,-0.18459821834999993,0.18459821834999993,6/28/2019 3:30,0,0.0,0,0,73,0.35,1.06,23.4,2.86,96.36,-0.3,0.9,0.0,23.1,0.0,100,6521,96.36,22.4
2019-06-28 08:45:00+00:00,6/28/2019 8:45,0.72,0.8009999999999999,2.4,23.25,22.18,953.0,203.0,0.36999999999999994,0.2963699999999999,0.0,0.0,inf,0.24661049999999995,0.5543895,0.09124588499999997,0.20512411499999994,6/28/2019 3:45,0,0.017,0,0,50,1.19,2.23,23.4,2.86,96.36,-0.3,0.9,1.0,23.1,0.0,100,6524,96.36,22.5
2019-06-28 09:00:00+00:00,6/28/2019 9:00,0.81,0.0,1.2,23.06,22.18,953.0,203.0,0.42199999999999976,0.0,0.0,0.0,,-0.6323036999999997,0.6323036999999997,-0.2668321613999997,0.2668321613999997,6/28/2019 4:00,0,0.0,0,0,58,0.71,1.79,23.5,2.86,96.37,-0.3,0.9,0.0,23.2,0.0,100,6523,96.37,22.5
2019-06-28 09:15:00+00:00,6/28/2019 9:15,0.81,0.8009999999999999,0.8,22.93,22.06,953.0,203.0,0.39599999999999996,0.3171959999999999,0.0,0.0,inf,0.2076534,0.5933466,0.08223074639999998,0.23496525359999992,6/28/2019 4:15,0,0.0,0,0,3,0.3,0.75,23.1,2.82,96.4,-0.4,0.9,0.0,23.1,,100,6522,96.41,22.4
2019-06-28 09:30:00+00:00,6/28/2019 9:30,0.765,0.0,1.2,22.87,22.12,953.0,203.0,0.3390000000000002,0.0,0.0,0.0,,-0.5079406500000003,0.5079406500000003,-0.17219188035000021,0.17219188035000021,6/28/2019 4:30,0,0.0,0,0,354,0.22,0.61,23.1,2.83,96.4,-0.4,0.9,0.0,23.0,,100,6526,96.4,22.4
2019-06-28 09:45:00+00:00,6/28/2019 9:45,0.765,0.0,0.8,22.68,21.93,953.0,203.0,0.30099999999999993,0.0,0.0,0.0,,-0.4510033499999999,0.4510033499999999,-0.13575200834999995,0.13575200834999995,6/28/2019 4:45,0,0.0,0,0,356,0.32,0.68,23.0,2.81,96.41,-0.3,0.8,0.0,22.9,,100,6521,96.41,22.3
2019-06-28 10:00:00+00:00,6/28/2019 10:00,0.765,0.0,0.8,22.68,21.93,953.0,203.0,0.30099999999999993,0.0,0.0,0.0,,-0.4510033499999999,0.4510033499999999,-0.13575200834999995,0.13575200834999995,6/28/2019 5:00,0,0.0,0,0,299,0.34,0.71,22.9,2.8,96.44,-0.4,0.8,0.0,22.8,,100,6522,96.44,22.3
2019-06-28 10:15:00+00:00,6/28/2019 10:15,0.765,0.0,1.2,22.68,21.87,953.0,203.0,0.30099999999999993,0.0,0.0,0.0,,-0.4510033499999999,0.4510033499999999,-0.13575200834999995,0.13575200834999995,6/28/2019 5:15,0,0.0,0,0,26,0.25,0.7,22.9,2.8,96.47,-0.3,0.9,0.0,22.8,,100,6520,96.47,22.3
2019-06-28 10:30:00+00:00,6/28/2019 10:30,0.765,0.0,1.2,22.75,21.75,953.0,203.0,0.315,0.0,0.0,0.0,,-0.47198025000000005,0.47198025000000005,-0.14867377875,0.14867377875,6/28/2019 5:30,0,0.0,0,0,1,0.45,1.0,22.9,2.79,96.47,-0.3,0.9,0.0,22.7,,100,6521,96.46,22.2
2019-06-28 10:45:00+00:00,6/28/2019 10:45,0.81,0.8009999999999999,0.8,22.81,21.87,953.0,203.0,0.3719999999999998,0.2979719999999998,0.0,0.0,inf,0.2436138000000002,0.5573861999999997,0.09062433360000002,0.20734766639999977,6/28/2019 5:45,0,0.0,0,0,71,0.71,1.92,23.0,2.81,96.48,-0.3,0.8,0.0,22.8,0.0,100,6521,96.48,22.3
2019-06-28 11:00:00+00:00,6/28/2019 11:00,0.81,76.095,1.2,22.87,21.93,953.0,203.0,0.38400000000000023,29.220480000000016,0.0,0.0,inf,75.51963359999999,0.5753664000000004,28.999539302400013,0.22094069760000323,6/28/2019 6:00,0,0.0,0,0,106,0.42,0.91,23.1,2.83,96.48,-0.3,0.9,0.0,22.9,,100,6520,96.47,22.4
2019-06-28 11:15:00+00:00,6/28/2019 11:15,0.765,136.17,1.2,22.75,21.81,953.0,203.0,0.315,42.89355,0.0,0.0,inf,135.69801975,0.47198025000000005,42.744876221249996,0.14867377875000187,6/28/2019 6:15,0,0.0,0,0,28,0.58,1.01,23.0,2.81,96.46,-0.3,0.9,0.0,22.9,,100,6520,96.46,22.4
2019-06-28 11:30:00+00:00,6/28/2019 11:30,0.765,156.996,0.8,22.93,21.87,953.0,203.0,0.3509999999999999,55.10559599999999,0.0,0.0,inf,156.47007915,0.5259208499999999,54.92099778164999,0.18459821835000412,6/28/2019 6:30,8,0.0,0,0,50,0.51,1.02,23.1,2.83,96.47,-0.3,0.9,0.0,22.9,0.0,100,6518,96.46,22.4
2019-06-28 11:45:00+00:00,6/28/2019 11:45,0.765,161.001,2.4,23.0,22.0,953.0,203.0,0.365,58.765365,0.0,0.0,inf,160.45410225,0.54689775,58.56574732125,0.19961767875000191,6/28/2019 6:45,22,0.0,0,0,10,0.52,1.03,23.0,2.81,96.48,-0.3,0.8,0.0,22.9,,100,6518,96.47,22.3
2019-06-28 12:00:00+00:00,6/28/2019 12:00,0.765,162.60299999999998,1.2,23.37,22.25,953.0,203.0,0.43900000000000017,71.38271700000001,0.0,0.0,inf,161.94522435,0.6577756500000003,71.09395348965002,0.2887635103499946,6/28/2019 7:00,31,0.0,0,0,39,0.71,1.13,23.1,2.82,96.49,-0.3,0.9,0.0,23.0,0.0,100,6519,96.48,22.4
2019-06-28 12:15:00+00:00,6/28/2019 12:15,,,,,,953.0,,,,0.0,,,,,,,6/28/2019 7:15,53,0.0,0,0,5,0.75,1.11,23.5,2.88,96.5,-0.3,0.9,0.0,23.3,0.0,100,6519,96.5,22.8
2019-06-28 12:30:00+00:00,6/28/2019 12:30,,,,,,953.0,,,,0.0,,,,,,,6/28/2019 7:30,125,0.0,0,0,36,0.68,1.33,23.6,2.9,96.5,-0.3,0.9,0.0,23.9,0.0,100,6521,96.5,23.1
2019-06-28 12:45:00+00:00,6/28/2019 12:45,,,,,,953.0,,,,0.0,,,,,,,6/28/2019 7:45,160,0.0,0,0,320,0.39,0.86,24.0,2.97,96.51,-0.3,0.9,0.0,24.9,0.0,100,6528,96.5,23.7
2019-06-28 13:00:00+00:00,6/28/2019 13:00,0.54,167.40900000000002,1.2,25.06,24.18,953.0,203.0,0.5519999999999998,92.40976799999999,0.0,,inf,166.58191080000003,0.8270891999999997,91.9532147616,0.45655323839999085,6/28/2019 8:00,144,0.0,0,0,272,0.42,1.16,24.2,3.01,96.54,-0.4,0.9,0.0,25.6,0.0,100,6532,96.53,24.3
2019-06-28 13:15:00+00:00,6/28/2019 13:15,,,,,,953.0,,,,0.0,,,,,,,6/28/2019 8:15,175,0.0,0,0,223,0.54,1.79,24.1,3.0,96.57,-0.4,0.9,0.0,25.5,0.0,100,6537,96.56,24.5
2019-06-28 13:30:00+00:00,6/28/2019 13:30,,,,,,953.0,,,,0.0,,,,,,,6/28/2019 8:30,283,0.0,0,0,247,0.48,1.05,24.5,3.07,96.58,-0.3,0.9,0.0,26.5,,100,6547,96.58,25.2
2019-06-28 13:45:00+00:00,6/28/2019 13:45,0.315,166.608,0.4,26.06,26.06,953.0,203.0,0.5269999999999997,87.80241599999995,0.0,0.0,inf,165.81836955,0.7896304499999995,87.38628075284994,0.4161352471500095,6/28/2019 8:45,250,0.0,0,0,269,0.54,1.31,25.1,3.16,96.6,-0.3,0.9,0.0,27.6,0.0,100,6552,96.61,26.5
2019-06-28 14:00:00+00:00,6/28/2019 14:00,0.27,170.613,0.8,26.25,26.06,953.0,203.0,0.52,88.71876,0.0,0.0,inf,169.833858,0.7791420000000001,88.31360615999999,0.4051538400000112,6/28/2019 9:00,202,0.0,0,0,259,0.47,1.22,25.0,3.18,96.61,-0.4,0.9,0.0,27.5,,100,6553,96.62,26.9
2019-06-28 14:15:00+00:00,6/28/2019 14:15,0.27,173.817,0.8,26.5,26.06,953.0,203.0,0.5700000000000001,99.07569000000001,0.0,0.0,inf,172.9629405,0.8540595000000001,98.58887608500001,0.48681391499999904,6/28/2019 9:15,235,0.0,0,0,253,0.35,1.04,25.0,3.15,96.65,-0.3,0.9,0.0,27.4,0.0,100,6556,96.65,26.8
2019-06-28 14:30:00+00:00,6/28/2019 14:30,0.315,173.016,1.2,27.18,26.62,953.0,203.0,0.7509999999999999,129.93501599999996,0.0,0.0,inf,171.89073915,1.1252608499999999,129.08994510165,0.8450708983499737,6/28/2019 9:30,380,0.0,0,0,296,0.59,1.88,25.1,3.18,96.65,-0.4,0.9,0.0,27.8,0.0,100,6565,96.67,27.2
2019-06-28 14:45:00+00:00,6/28/2019 14:45,0.225,166.608,0.8,28.18,28.31,953.0,203.0,0.861,143.449488,0.0,0.0,inf,165.31792065,1.29007935,142.33872967965,1.1107583203500155,6/28/2019 9:45,615,0.0,0,0,271,0.37,1.23,26.3,3.33,96.66,-0.4,1.0,0.0,29.7,0.0,100,6584,96.66,28.6
2019-06-28 15:00:00+00:00,6/28/2019 15:00,0.045,165.80700000000002,1.2,28.93,29.06,953.0,203.0,0.8310000000000001,137.78561700000003,0.0,0.0,inf,164.56187115000003,1.2451288500000002,136.75091492565005,1.0347020743499797,6/28/2019 10:00,708,0.0,0,0,246,0.69,2.43,27.0,3.45,96.69,-0.4,1.0,0.0,32.1,0.0,100,6595,96.68,30.8
2019-06-28 15:15:00+00:00,6/28/2019 15:15,0.135,177.822,0.8,28.43,28.56,953.0,203.0,0.821,145.991862,0.0,0.0,inf,176.59185465000002,1.23014535,144.98191266765,1.0099493323500042,6/28/2019 10:15,405,0.0,0,0,235,0.53,1.07,26.5,3.35,96.72,-0.4,1.0,0.0,31.5,0.0,100,6596,96.7,31.4
2019-06-28 15:30:00+00:00,6/28/2019 15:30,,,,,,953.0,,,,0.0,,,,,,,6/28/2019 10:30,352,0.0,0,0,211,0.42,1.03,26.2,3.31,96.72,-0.3,1.0,0.0,30.7,0.0,100,6593,96.71,31.0
2019-06-28 15:45:00+00:00,6/28/2019 15:45,,,,,,953.0,,,,0.0,,,,,,,6/28/2019 10:45,298,0.0,0,0,255,0.44,1.29,26.2,3.31,96.71,-0.4,1.0,0.0,29.9,0.0,100,6594,96.7,30.4
2019-06-28 16:00:00+00:00,6/28/2019 16:00,,,,,,953.0,,,,0.0,,,,,,,6/28/2019 11:00,347,0.0,0,0,238,0.41,1.62,25.8,3.27,96.72,-0.4,1.0,0.0,29.5,0.0,100,6596,96.7,29.9
2019-06-28 16:15:00+00:00,6/28/2019 16:15,,,,,,1018.6,,,,7.800000000000068,,,,,,,6/28/2019 11:15,526,0.0,0,0,236,0.45,1.43,26.2,3.29,96.7,-0.3,0.8,0.0,29.5,0.0,100,6601,96.7,29.9
2019-06-28 16:30:00+00:00,6/28/2019 16:30,,,,,,1121.5,,,,6.5,,,,,,,6/28/2019 11:30,424,0.0,0,0,225,0.56,1.21,26.1,3.33,96.7,-0.4,1.0,0.0,30.1,0.0,100,6604,96.7,30.5
2019-06-28 16:45:00+00:00,6/28/2019 16:45,3.6,143.379,452.0,28.93,29.68,1225.0,215.0,4.386,628.860294,7.1666666666667425,,87.74794799999907,136.8072369,6.5717631,600.0365410434,28.823752956599947,6/28/2019 11:45,468,0.0,0,0,208,0.51,1.12,26.2,3.33,96.71,-0.4,1.0,0.0,29.9,0.0,100,6606,96.71,30.4
2019-06-28 17:00:00+00:00,6/28/2019 17:00,,,,,,1335.0,,,,7.5,,,,,,,6/28/2019 12:00,508,0.0,0,0,243,0.49,1.28,26.4,3.32,96.7,-0.4,1.0,0.0,30.0,0.0,100,6609,96.7,30.6
2019-06-28 17:15:00+00:00,6/28/2019 17:15,,,,,,1433.0,,,,6.0,,,,,,,6/28/2019 12:15,346,0.0,0,0,236,0.38,1.08,26.3,3.33,96.7,-0.4,0.9,0.0,30.1,0.0,100,6607,96.69,30.8
2019-06-28 17:30:00+00:00,6/28/2019 17:30,,,,,,1520.1818181818182,,,,5.363636363636488,,,,,,,6/28/2019 12:30,351,0.0,0,0,262,0.56,1.34,26.3,3.33,96.69,-0.4,0.9,0.0,29.9,0.0,100,6607,96.68,30.5
2019-06-28 17:45:00+00:00,6/28/2019 17:45,,,,,,1600.0,,,,6.0,,,,,,,6/28/2019 12:45,283,0.0,0,0,235,0.47,1.81,26.2,3.3,96.67,-0.4,0.9,0.0,29.5,0.0,100,6606,96.67,30.0
2019-06-28 18:00:00+00:00,6/28/2019 18:00,,,,,,1706.909090909091,,,,8.727272727272748,,,,,,,6/28/2019 13:00,480,0.0,0,0,255,0.5,1.14,26.0,3.32,96.64,-0.3,1.0,0.0,29.3,0.0,100,6609,96.65,29.7
2019-06-28 18:15:00+00:00,6/28/2019 18:15,6.93,133.767,722.8,30.12,31.93,1844.0,223.0,7.954,1063.982718,7.5,,141.8643624,121.8491241,11.9178759,969.1879330913999,94.79478490860004,6/28/2019 13:15,1060,0.0,0,0,246,0.63,1.55,27.6,3.45,96.61,0.2,0.9,0.0,30.5,0.0,100,6622,96.62,31.3
2019-06-28 18:30:00+00:00,6/28/2019 18:30,6.75,136.17,726.0,32.12,32.37,1993.0,234.0,8.174,1113.0535799999998,10.0,0.0,111.30535799999998,123.92248709999998,12.2475129,1012.9424095553998,100.11117044460002,6/28/2019 13:30,979,0.0,0,0,254,0.79,1.78,28.2,3.51,96.59,-0.3,1.0,0.0,32.0,0.0,100,6628,96.6,33.3
2019-06-28 18:45:00+00:00,6/28/2019 18:45,,,,,,2107.0,,,,5.0,,,,,,,6/28/2019 13:45,562,0.0,0,0,267,0.75,1.79,28.1,3.57,96.59,-0.4,1.0,0.0,32.5,0.0,100,6630,96.59,33.6
2019-06-28 19:00:00+00:00,6/28/2019 19:00,1.62,142.578,210.4,28.0,30.31,2176.0,235.0,2.22,316.52316,4.0,0.0,79.13079,139.251663,3.3263370000000005,309.13869186000005,7.384468139999967,6/28/2019 14:00,246,0.0,0,0,305,0.8,1.87,27.7,3.46,96.58,-0.3,1.0,0.0,31.8,0.0,100,6625,96.58,32.6
2019-06-28 19:15:00+00:00,6/28/2019 19:15,0.045,164.205,73.2,26.87,28.5,2205.0,235.0,0.4190000000000002,68.80189500000004,1.0,0.0,68.80189500000004,163.57719135000002,0.6278086500000003,68.53884317565004,0.26305182435000063,6/28/2019 14:15,120,0.051,0,0,278,0.66,2.27,26.9,3.32,96.57,-0.2,0.9,3.1,30.3,0.0,100,6621,96.57,30.9
2019-06-28 19:30:00+00:00,6/28/2019 19:30,0.27,175.419,202.8,25.93,27.18,2210.0,235.0,0.45599999999999996,79.991064,1.0,0.0,79.991064,174.73575240000002,0.6832476,79.6795030944,0.3115609055999897,6/28/2019 14:30,153,0.953,0,0,262,0.81,1.81,25.7,3.22,96.53,-0.4,0.9,11.2,28.6,0.0,100,6614,96.54,28.9
2019-06-28 19:45:00+00:00,6/28/2019 19:45,0.27,176.22,259.2,26.43,27.62,2215.0,235.0,0.556,97.97832000000001,1.0,0.0,97.97832000000001,175.3869174,0.8330826000000001,97.5151260744,0.4631939256000095,6/28/2019 14:45,295,0.8170000000000001,0,0,195,0.59,1.84,24.6,3.09,96.49,-0.3,0.9,11.2,27.3,0.0,100,6612,96.52,27.5
2019-06-28 20:00:00+00:00,6/28/2019 20:00,,,,,,2228.5714285714284,,,,4.785714285714221,,,,,,,6/28/2019 15:00,283,1.004,0,0,189,0.49,1.13,24.2,3.02,96.46,-0.3,0.9,18.4,26.6,,100,6613,96.5,26.8
