06-01224,Port 1,,,,,,,,,,,,,,,Port 7,,Port 8,
# Record: 1344,ATMOS 41 All-in-one Weather Station,,,,,,,,,,,,,,,Battery,,Barometer,
Timestamp,W/m? Solar Radiation,mm Precipitation, Lightning Activity,km Lightning Distance,¡ Wind Direction,m/s Wind Speed,m/s Gust Speed,¡C Air Temperature,kPa Vapor Pressure,kPa Atmospheric Pressure,¡ X-axis Level,¡ Y-axis Level,mm/h Max Precip Rate,¡C RH Sensor Temp,kPa VPD,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,¡C Logger Temperature
6/28/2019 0:00,0,0,0,0,93,0.59,1.24,23.3,2.8,96.68,-0.4,0.9,0,22.9,0,100,6543,96.68,22.2
6/28/2019 0:15,0,0,0,0,92,0.72,2.07,23.7,2.9,96.66,-0.3,0.9,0,23.2,0,100,6548,96.66,22.8
6/28/2019 0:30,0,0,0,0,92,0.62,1.37,23.9,2.87,96.64,-0.3,0.9,0,23.5,0,100,6526,96.64,23.1
6/28/2019 0:45,0,0,0,0,95,0.61,1.23,24,2.98,96.62,-0.3,0.9,0,23.6,0,100,6528,96.61,23.1
6/28/2019 1:00,0,0,0,0,69,0.84,1.95,24.1,3,96.57,-0.3,0.9,0,23.7,0,100,6529,96.57,23.1
6/28/2019 1:15,0,0,0,0,35,1,1.99,23.9,2.96,96.53,-0.3,0.9,0,23.7,#N/A,100,6530,96.53,23.1
6/28/2019 1:30,0,0,0,0,66,1.04,2,23.7,2.88,96.49,-0.3,0.9,0,23.6,0,100,6527,96.49,22.9
6/28/2019 1:45,0,0,0,0,65,0.83,1.29,23.7,2.87,96.46,-0.3,0.9,0,23.5,0,100,6528,96.46,22.8
6/28/2019 2:00,0,0,0,0,81,0.35,0.92,23.7,2.86,96.45,-0.3,0.9,0,23.5,0,100,6527,96.45,22.8
6/28/2019 2:15,0,0,0,0,6,0.39,0.91,23.6,2.87,96.43,-0.4,0.9,0,23.5,0,100,6524,96.43,22.7
6/28/2019 2:30,0,0,0,0,57,0.29,0.81,23.6,2.87,96.41,-0.3,0.9,0,23.3,0,100,6527,96.41,22.6
6/28/2019 2:45,0,0,0,0,19,0.44,0.75,23.4,2.86,96.38,-0.3,0.9,0,23.3,0,100,6525,96.38,22.5
